Matrice Ruoli/Permessi,Inventory Manager,Commerciale,Pianificatore,Operation Manager,Admin Tenant,Super Admin
Gestione Permessi,D,,,,,
Visualizza lista permessi,view_licenses_list,,,,view_licenses_list,view_licenses_list
Crea concessione,create_grant,,,,create_grant,create_grant
Elimina concessione,delete_grant,,,,delete_grant,delete_grant
Modifica concessione,edit_grant,,,,edit_grant,edit_grant
Visualizza concessione,view_grant,,,,view_grant,view_grant
Crea autorizzazione,create_authorization,,,,create_authorization,create_authorization
Elimina autorizzazione,delete_authorization,,,,delete_authorization,delete_authorization
Modifica autorizzazione,edit_authorization,,,,edit_authorization,edit_authorization
Visualizza autorizzazione,view_authorization,,,,view_authorization,view_authorization
Gestione Spazi Pubblicitari,D,I,I,I,,
Crea spazio,create_item,,,,create_item,create_item
Elimina spazio,delete_item,,,,delete_item,delete_item
Modifica spazio,edit_item,,,,edit_item,edit_item
Visualizza lista spazi,view_items_list 🔑,view_items_list 🔑 🥸,view_items_list 🔑 🥸,view_items_list 🔑 🥸,view_items_list,view_items_list
Visualizza spazio,view_item 🥸,view_item 🔑 🥸,view_item 🔑 🥸,view_item 🔑 🥸,view_item,view_item
Cambia status spazio,update_status_item,,,,update_status_item,update_status_item
Gestione Fornitori (e forniture?),D,,,,,
Crea fornitore,create_supplier,,,,create_supplier,create_supplier
Elimina fornitore,delete_supplier,,,,delete_supplier,delete_supplier
Modifica fornitore,edit_supplier,,,,edit_supplier,edit_supplier
Visualizza lista fornitori,view_suppliers_list,,,,view_suppliers_list,view_suppliers_list
Visualizza fornitore,view_supplier,,,,view_supplier,view_supplier