Matrice Ruoli/Permessi,Super Admin,Admin Tenant,Profilo Utente
Gestione Utenti e Ruoli,I,D,I
Crea profilo utente,create_user,create_user,
Elimina profilo utente,delete_user,delete_user,
Modifica profilo utente,edit_user,edit_user,edit_user  🔑
Visualizza profilo utente,view_user,view_user,view_user  🔑
Visualizza lista utenti,view_user_list,view_user_list,
Assegna ruolo a profilo utente,assign_role,assign_role,
Cambia ruolo a profilo utente,update_role,update_role,
Assegna permessi extra a profilo utente,assign_extra_permit,assign_extra_permit,
Crea ruolo custom e assegna permessi (?),create_role,create_role,
Gestione Tenant/Acquirenti,,,
Crea Tenant,create_tenant,,
Elimina Tenant,delete_tenant,,
Modifica Tenant,edit_tenant,edit_tenant 🔑,
Visualizza Tenant,view_tenant,view_tenant  🔑,
Visualizza Lista Tenant,view_tenant_list,,